"DNA Polymerase","Amplicon","Substitution rate","Doubling","Total bases","Fidelity"
"Taq","LacZ-1",0.000174285753714037,11.7860808707484,35879784,1
"Taq","LacZ-2",0.000170176334993549,11.3357363864214,15857446,1
"Taq","DNA-1",0.000139046447713539,12.1514223083582,18680811,1
"Taq","DNA-2",0.00013611739352227,11.8130538034137,27978748,1
"Q5","LacZ-2",6.31119952125986e-07,11.2761109001183,58804553,269.641823904147
"Q5","DNA-1",5.24722414929157e-07,11.5068476720481,24031390,264.990485935905
"Q5","DNA-2",4.47781162443905e-07,11.2569623248701,29783285,303.981955782524
"Phusion","LacZ-2",4.1624035595855e-06,10.7613930212544,27516808,40.8841508415621
"Phusion","DNA-1",3.10768435905201e-06,10.5731414265219,43337948,44.7427832587073
"Phusion","DNA-2",4.4891771385353e-06,10.0527056753372,47408183,30.3212346765808
"Deep Vent","LacZ-2",5.93354235198098e-06,10.2998856862415,24256327,28.6803944252177
"Deep Vent","DNA-1",2.0442575938932e-06,10.6394163979636,41951269,68.0180658880324
"Deep Vent","DNA-2",3.96824002142849e-06,10.2133006399186,40010344,34.3017037243807
"Pfu","LacZ-2",6.07754770050896e-06,8.40810976687996,31354026,28.0008225981176
"Pfu","DNA-1",3.96459308491497e-06,8.83970453628251,37838462,35.0720602935523
"Pfu","DNA-2",5.32081636565985e-06,8.75507366837327,10422488,25.5820506042572
"PrimeSTAR GXL","LacZ-2",9.48182883392251e-06,11.4931491904374,36639913,17.9476278230968
"PrimeSTAR GXL","DNA-1",7.30377334836094e-06,11.0984093074472,40281638,19.0376181025309
"PrimeSTAR GXL","DNA-2",8.53795420918604e-06,11.0070088535457,42043015,15.9426239807916
"KOD","LacZ-2",1.43806452903558e-05,12.0241821976145,37137931,11.8337064545828
"KOD","DNA-1",1.03661150116918e-05,11.7978904153992,39290128,13.4135544084462
"KOD","DNA-2",1.17039290918829e-05,11.493385567192,44806379,11.6300596537852
"Kapa HiFi","LacZ-2",1.88288415821462e-05,11.8759645687397,25543632,9.03806717216808
"Kapa HiFi","DNA-1",1.40324256148758e-05,12.6073810914154,33023626,9.90893887697759
"Kapa HiFi","DNA-2",1.45145554792208e-05,12.3989271192411,43175705,9.37799257560026
"Deep Vent (exo-)","LacZ-2",0.000499599476909587,9.50047951729939,23213109,0.340625526764404
"Deep Vent (exo-)","DNA-1",0.000503110444398552,9.66606921550182,13305219,0.276373605957958
"Deep Vent (exo-)","DNA-2",0.000482390383182185,9.22067551718727,23700277,0.282172693046541
